datetime,arrivals,hour,day_of_week,is_weekend,temperature_2m,precipitation,relative_humidity_2m,cloud_cover,wind_speed_10m
2026-07-15 19:00:00,2,19,2,0,79.3,0.0,69,7,12.6
2026-07-16 10:00:00,0,10,3,0,75.7,0.0,65,29,8.9
2026-07-16 11:00:00,0,11,3,0,78.0,0.0,61,28,10.0
2026-07-16 12:00:00,0,12,3,0,80.8,0.0,63,58,14.0
2026-07-16 13:00:00,0,13,3,0,81.2,0.016,65,21,15.9
2026-07-16 14:00:00,0,14,3,0,81.3,0.004,65,26,15.2
2026-07-16 15:00:00,0,15,3,0,83.0,0.004,58,22,16.5
2026-07-17 13:00:00,0,13,4,0,77.6,0.0,43,95,7.3
2026-07-17 14:00:00,0,14,4,0,78.7,0.0,40,20,8.5
2026-07-17 15:00:00,0,15,4,0,79.2,0.0,41,2,7.7
2026-07-17 16:00:00,0,16,4,0,79.6,0.0,42,0,6.1
2026-07-17 17:00:00,0,17,4,0,79.9,0.0,44,16,6.5
2026-07-17 18:00:00,0,18,4,0,79.3,0.0,50,59,6.7
2026-07-17 19:00:00,0,19,4,0,77.9,0.0,60,91,5.9
2026-07-18 10:00:00,0,10,5,1,70.6,0.0,83,94,10.5
2026-07-18 11:00:00,0,11,5,1,72.5,0.079,88,100,21.5
2026-07-19 10:00:00,5,10,6,1,68.4,0.0,70,5,19.2
2026-07-19 11:00:00,18,11,6,1,70.0,0.0,64,4,19.2
2026-07-19 12:00:00,5,12,6,1,71.3,0.0,59,12,20.4
2026-07-19 13:00:00,8,13,6,1,72.2,0.0,56,1,19.5
2026-07-19 14:00:00,7,14,6,1,74.2,0.0,50,1,19.1
2026-07-19 15:00:00,9,15,6,1,74.8,0.0,48,5,17.9
2026-07-19 16:00:00,6,16,6,1,74.8,0.0,47,1,15.9
2026-07-20 10:00:00,3,10,0,0,69.3,0.0,53,0,5.8
2026-07-20 11:00:00,4,11,0,0,71.3,0.0,46,6,6.0
2026-07-20 12:00:00,9,12,0,0,73.0,0.0,43,55,6.4
2026-07-20 13:00:00,12,13,0,0,74.7,0.0,40,0,5.8
2026-07-20 14:00:00,10,14,0,0,76.3,0.0,39,0,5.4
2026-07-20 15:00:00,7,15,0,0,76.6,0.0,40,3,7.1
2026-07-20 16:00:00,6,16,0,0,77.0,0.0,41,52,8.9
2026-07-20 17:00:00,17,17,0,0,76.4,0.0,43,5,11.1
2026-07-20 18:00:00,7,18,0,0,75.1,0.0,47,7,10.5
2026-07-20 19:00:00,1,19,0,0,73.1,0.0,59,2,7.7
2026-07-21 10:00:00,0,10,1,0,73.8,0.024,84,95,19.8
2026-07-21 11:00:00,0,11,1,0,76.5,0.0,83,100,18.9
2026-07-21 12:00:00,0,12,1,0,74.9,0.016,82,100,19.9
2026-07-21 13:00:00,0,13,1,0,76.0,0.02,85,100,16.8
2026-07-22 10:00:00,1,10,2,0,74.9,0.0,78,18,17.1
2026-07-22 11:00:00,3,11,2,0,76.1,0.004,65,41,19.4
2026-07-22 12:00:00,4,12,2,0,75.0,0.016,72,35,15.4
2026-07-22 13:00:00,6,13,2,0,77.4,0.004,69,21,14.8
2026-07-22 14:00:00,8,14,2,0,78.9,0.004,56,18,17.5
2026-07-22 15:00:00,3,15,2,0,80.4,0.0,49,13,18.0
2026-07-22 16:00:00,7,16,2,0,80.0,0.0,50,38,19.9
2026-07-22 17:00:00,12,17,2,0,77.9,0.0,58,12,17.3
2026-07-22 18:00:00,2,18,2,0,76.5,0.0,58,8,16.3
2026-07-22 19:00:00,1,19,2,0,73.7,0.0,61,2,12.5
2026-07-23 10:00:00,2,10,3,0,67.2,0.0,54,0,6.6
2026-07-23 11:00:00,9,11,3,0,69.2,0.0,51,0,5.9
2026-07-23 12:00:00,3,12,3,0,71.2,0.0,48,0,4.9
2026-07-23 13:00:00,14,13,3,0,72.7,0.0,46,0,4.6
2026-07-23 14:00:00,6,14,3,0,74.1,0.0,46,0,4.5
2026-07-23 15:00:00,6,15,3,0,74.4,0.0,47,3,5.2
2026-07-23 16:00:00,7,16,3,0,74.8,0.0,45,0,5.5
2026-07-23 17:00:00,5,17,3,0,74.7,0.0,44,0,6.5
2026-07-23 18:00:00,2,18,3,0,73.9,0.0,48,0,6.6
2026-07-23 19:00:00,1,19,3,0,72.1,0.0,61,0,5.9
2026-07-24 10:00:00,5,10,4,0,71.3,0.0,60,0,3.4
2026-07-24 11:00:00,8,11,4,0,73.8,0.0,51,0,2.0
2026-07-24 12:00:00,6,12,4,0,75.4,0.0,47,36,4.4
2026-07-24 13:00:00,15,13,4,0,76.4,0.0,46,69,6.3
2026-07-24 14:00:00,7,14,4,0,76.8,0.0,46,91,8.6
2026-07-24 15:00:00,5,15,4,0,77.0,0.0,44,9,8.2
2026-07-24 16:00:00,5,16,4,0,77.3,0.0,41,4,8.1
2026-07-24 17:00:00,13,17,4,0,77.2,0.0,40,22,7.4
2026-07-24 18:00:00,6,18,4,0,76.8,0.0,44,95,6.1
2026-07-24 19:00:00,0,19,4,0,74.1,0.0,55,100,8.8
2026-07-25 10:00:00,11,10,5,1,71.1,0.0,53,0,7.6
2026-07-25 11:00:00,14,11,5,1,72.8,0.0,48,0,10.6
2026-07-25 12:00:00,9,12,5,1,74.2,0.0,45,0,11.6
2026-07-25 13:00:00,14,13,5,1,75.5,0.0,44,0,10.9
2026-07-25 14:00:00,12,14,5,1,76.5,0.0,45,0,10.6
2026-07-25 15:00:00,13,15,5,1,76.9,0.0,46,5,10.0
2026-07-25 16:00:00,11,16,5,1,77.1,0.0,47,34,9.4
2026-07-25 17:00:00,2,17,5,1,76.4,0.0,49,29,10.1
2026-07-25 18:00:00,4,18,5,1,74.7,0.0,51,19,11.1
2026-07-25 19:00:00,0,19,5,1,71.7,0.0,56,2,11.4
2026-07-26 10:00:00,10,10,6,1,71.7,0.0,55,4,6.3
2026-07-26 11:00:00,14,11,6,1,74.3,0.0,52,4,4.9
2026-07-26 12:00:00,14,12,6,1,76.3,0.0,49,2,2.9
2026-07-26 13:00:00,14,13,6,1,77.7,0.0,47,2,2.9
2026-07-26 14:00:00,9,14,6,1,79.2,0.0,44,39,2.1
2026-07-26 15:00:00,14,15,6,1,79.0,0.0,47,49,2.3
2026-07-26 16:00:00,7,16,6,1,79.3,0.0,46,73,3.2
2026-07-26 17:00:00,7,17,6,1,78.6,0.0,49,41,5.9
2026-07-26 18:00:00,4,18,6,1,77.9,0.0,53,22,7.7
2026-07-26 19:00:00,0,19,6,1,75.3,0.008,62,56,9.6
2026-07-28 10:00:00,0,10,1,0,71.7,0.004,83,78,16.3
2026-07-28 11:00:00,0,11,1,0,76.1,0.008,74,98,12.7
2026-07-28 12:00:00,0,12,1,0,74.9,0.047,75,99,14.5
2026-07-28 13:00:00,0,13,1,0,76.4,0.016,73,100,17.2
2026-07-28 14:00:00,0,14,1,0,67.0,0.087,98,100,15.8
2026-07-29 10:00:00,0,10,2,0,68.1,0.016,91,50,17.4
2026-07-29 11:00:00,0,11,2,0,71.0,0.004,80,41,19.7
2026-07-29 12:00:00,0,12,2,0,73.4,0.012,73,48,17.5
2026-07-29 13:00:00,0,13,2,0,75.4,0.012,74,20,14.0
2026-07-29 14:00:00,1,14,2,0,77.3,0.0,61,32,14.0
2026-07-29 15:00:00,0,15,2,0,70.8,0.043,82,61,16.0
2026-07-29 16:00:00,0,16,2,0,73.5,0.012,80,22,10.4
2026-07-29 17:00:00,2,17,2,0,68.2,0.102,90,99,18.7
2026-07-29 18:00:00,2,18,2,0,67.0,0.079,99,97,8.8
2026-07-29 19:00:00,0,19,2,0,68.3,0.008,97,88,13.6
2026-08-01 11:00:00,20,11,5,1,79.0,0.0,61,81,5.0
2026-08-01 12:00:00,10,12,5,1,79.4,0.0,57,27,8.8
2026-08-01 13:00:00,6,13,5,1,80.5,0.0,54,25,9.2
2026-08-01 14:00:00,9,14,5,1,82.6,0.004,48,87,9.0
2026-08-01 15:00:00,6,15,5,1,83.4,0.0,46,70,10.9
2026-08-01 16:00:00,8,16,5,1,83.1,0.0,45,100,11.3
2026-08-01 17:00:00,9,17,5,1,79.3,0.0,58,95,13.2
2026-08-01 18:00:00,2,18,5,1,77.5,0.004,67,93,8.1
2026-08-02 11:00:00,1,11,6,1,77.8,0.004,69,90,17.8
2026-08-02 12:00:00,0,12,6,1,79.3,0.008,60,98,20.0
2026-08-02 13:00:00,4,13,6,1,77.9,0.008,64,78,18.9
2026-08-02 14:00:00,5,14,6,1,79.8,0.012,62,100,19.4
2026-08-02 15:00:00,2,15,6,1,78.4,0.008,64,88,16.6
2026-08-02 16:00:00,3,16,6,1,81.2,0.0,54,100,19.6
2026-08-04 11:00:00,12,11,1,0,75.8,0.0,56,41,3.2
2026-08-04 12:00:00,5,12,1,0,77.4,0.0,54,94,3.6
2026-08-04 13:00:00,10,13,1,0,78.4,0.0,53,93,4.9
2026-08-04 14:00:00,5,14,1,0,80.0,0.0,49,77,6.1
2026-08-04 15:00:00,6,15,1,0,79.7,0.0,51,72,6.5
2026-08-04 16:00:00,16,16,1,0,79.7,0.0,52,47,6.0
2026-08-04 17:00:00,12,17,1,0,79.2,0.0,53,24,6.9
2026-08-04 18:00:00,4,18,1,0,77.9,0.0,61,23,8.1
